,Reviews
6220,"
Good
"
6221,"
Nice shoe would buy again
"
6222,"
Would buy again just a wider size
"
6223,"
Fits good
"
6224,"
This is the first pair of shoes I’ve ever purchased that were too small and too tight. If I have problems with shoe size it’s always been because they were too large. My normal size is an 8 and while I purchased these to wear without socks, the size 8 is too tight all over to wear for any long period of time with or without socks.
"
6225,"
This is about the 5th time I've bought this same style Pumas and love them. Fit's like a glove.
"
6226,"
Very thin shoe, not for wide feet, made  euro type fit
"
6227,"
Bueno
"
6228,"
Not as described.  Says leather but is actually vinyl and other man made material
"
6229,"
Bought them for my husband.  So far mostly satisfied with the shoes.  He was saying he was expecting the toe to be different, but he was okay with these.  Hoping these sneakers last longer than the last pair he bought in another store.  His foot on the left side is artificial and doesn't give like his own foot does.
"
6230,"
I like the style. The shoe is painful on my feet. Puma needs to fix this.
"
6231,"
The shoes are amazing. Very stylish and go with almost everything you can throw at them. Only downside would be the size. I ordered a 0.5 size larger and wish I had gotten a whole size larger than my usual. They still feel a bit tight and aren't really ideal for driving because of this.
"
6232,"
I was so excited to relive my childhood memories with the purchase of the Puma ROMA.  One of the ""classic"" athletic sneakers from back in the day as it were when athletic shoes were becoming the norm and ""specialized.""  I love everything about the Puma ROMA say nothing of wonderful childhood memories.  If only they FIT MY FEET!  But the last on the Puma ROMA's run narrow which is important to know.  So what fits like a glove with Onitsuka Tiger was downright painful with the Puma ROMA & simply not a fit try as I may.  This is why the AMAZON return policy is so important and frankly so good.  The return was easy, no questions asked and straightforward in terms of refund.  (So what did I do in case you are curious???  Purchased another pair of Onitsuka Tiger's (old school, of course!).
"
6233,"
It's a very nice looking sneaker unfortunately it's a little tight on top of my foot (front part)the width is perfect so is the length
"
6234,"
Super neat I wear them wit dress and pant and they are suitable for any occasion
"
6235,"
Fits well love them
"
6236,"
Eh.  They go on but this is a narrow shoe and should have been detailed as much.  The thing is, I'm not new to Puma's.  This particular posting is for a narrow fit, not a standard fit.  And I have a narrower foot than standard saying that.  Does it go on?  Yeah, sure.  Does it look pretty okay when on?  Yup.  Is it comfortable?  Nope.  The length is perfect but the shoe squeezes the sides and makes even my ankles swell.  These are tighter than even my Kenneth Cole Unlisted mids.  Those even a year later REQUIRE a shoe horn to get on.  So comfortable once on, no ankle swelling, no foot squeezing, same size, almost nearly identical sole dimensions.  The body of this shoe is just narrow.  I ordered a 10 reg and the shoe itself is really a 10 slim.  If Puma considers what I got a 10 reg, I'd hate to see what they consider a 10 slim in this model.
"
6237,"
Que me aprieta un poco en los lados
"
6238,"
I am a female and by mens since my foot is wide. I wore to Ling Beach Grand Prix with a cotton dress. Soo cute
"
6239,"
I'm a lady and i wear a 10 and I wear a 9 in men. But I ended up buying a 10 in men and i should have bought a 10.5 the shoes are a bit snugg and still too nartow for me. My feet are wide. I guess Puma don't make wide shoes. So i thought if i go up a size maybe they wont be snugg or narrow. That didn't work
"
6240,"
classic style and feel . these shoes feel great on the feet and are comfortable for all day casual wear or for your next  game . they're true to size .for those that dont know romos are a narrow shoe as long as you buy them knowing that you can't go wrong !
"
6241,"
Son mas delgados que lo que se ven an la fotos.
"
6242,"
These shoes look great, fit great, and feel great!!
"
6243,"
I bought these shoes for my husband. When he first got them they were very tight on his feet especially at the toe box. He said the show is very narrow at the top. He has had them for about a month now and after breaking them in he says they feel much better and comfortable. I love how they look on his feet! Very cute and stylish! The price ain't bad either! Two thumbs up!
"
6244,"
Excellent
"
6245,"
Shoes are quite fine mostly just fit a bit close because it is narrow.so if your foot is slim ur good,if not,expect a very close fit.
"
6246,"
Love them.
"
6247,"
These shoes ripped on the sides
"
6248,"
excelent
"
6249,"
These run a little small.So you have to get a 1/2 size bigger
"
6250,"
Everything was good
"
6251,"
Stylish and cute but……The width is very narrow. Not made for wide feet
"
6252,"
Let me begin by saying I would buy these shoes again because the price is perfect for what you get. With that said I am a disappointed by the material these shoe are made with. I have wore almost every brand of shoe in my lifetime, these are my first Puma. They are not that comfortable as other brands, the top of the shoes are very thin, they wrap your feet tight, makes you look like you are wearing torpedoes, funny looking when you look down on them, but from the side they look great. I bought these shoe for the price and the look and I am happy with them. Probably wouldn't have bought in a store, but I am not disappointed in my purchase.
"
6253,"
I bought these sneakers because they were advertized as made of real leather. What I received was a pair of sneakers that are totally synthetic. Back to Amazon they go!
"
6254,"
I've been wearing puma shoes for a white and usually they run more narrow which I already know. These shoes seemed too narrow and jist didn't seem right. I bought the size I normally do and they just seemed tight. Maybe wearing them and breaking them in would help but I decided to return them. Not a fan of the fitment of these shoes unfortunately
"
6255,"
Ive had these for a couple weeks and boy do they look sharp. The fit is the same as other pairs of Puma's Ive owned (10.5) and no blemishes or coming apart. Ive worn them everyday and my feet dont sweat even though they have a synthetic upper instead of leather. Just wear socks and you should be good.As for other reviews saying they squeak when you walk, Ive noticed if I dont tie them really tight, no squeaking.  The fit is is perfect so they dont slip even if not tied super tight.All in all I love these shoes and Ive always wanted a pair of all whites and Im glad I chose these shoes, especially since I got them on sale for less than $23
"
6256,"
I love the material and the style but I think where the size is concerned it could be I little wider
"
6257,"
Good shoes for the money 👍
"
6258,"
Very narrow. Got my normal puma size but I normally wear baskets or classics. I couldn't even get my foot in these
"
6259,"
These shoes are just like the old school ones I had years ago.
"
6260,"
Me gustaron los tenis muy buenos para pasear
"
6261,"
Nice fit
"
6262,"
I love these pumas even though I have wide feet lol. They were originally $50 and I put them in my cart the 2 weeks later they were on sale for $35 so of course I bought a pair. Contemplating buying a second pair because I know I'll regret it if I don't and the price goes back up.
"
6263,"
I like these shoes okay but they are a little narrow. I don't have wide feet so it is not really that big of deal. I wish I would have gotten a size up but they feel fine. The bottoms are very slippery when they are wet. I fell when I stepped on my threshold on my front door when it was raining. Maybe they will become less slippery once I break them in from wear.
"
6264,"
Están muy bonitos no tuve la oportunidad de verlos ,ni tallarmelos porque me robaron el paquete.
"
6265,"
Shoe looks great and length is on point but they are extremely narrow. For those with wide feet you may want to rethink the purchase or be willing to break these in.
"
6266,"
I've been wearing white Puma Romas for several years.  I recently ordered a black pair and use those as my work shoes.  They are very comfortable for all day wear.  My feet are a little on the wide so they're snug at first, but not to the point where they are uncomfortable, and eventually they stretch out.My only complaint is that they take on a permanent odor after about 4-6 months.  Maybe the issue is with my feet and not the shoes, maybe I wear the shoes tighter than they are meant to be worn.  My workaround is I got some Odor eaters replacement inserts, makes them feel like brand new.  Highly recommend these shoes.
"
6267,"
Narrower than I was expecting so if you have a wide arch you may want to size up.  That being said, they have stretched out pretty well after wearing for several days.  Overall, a quality shoe.
"
6268,"
Width was not right
"
6269,"
They are very snug so you may want to break them in.
"
6270,"




                    The media could not be loaded.
                



 Package came fresh out the store. Shoes feels good on my feet. Looks so cool especially when you dress in all black. So much style that is cool laid back but catches attention.. put these on your feet and watch how smooth you feel.
"
6271,"
Son un poco mas finas de lo que pensaba pero me van bien
"
6272,"
Leather Puma sneakers are always narrow,but....very soft,comfortable, leather,that stretches and conforms to the shape of your foot like a good pair of driving gloves fit your hands. Once the leather breaks in,these are super comfortable.  I have a medium wide foot with a very high arch,and this is my brand for sneakers. Laces could be a little longer,so minus a star,but easy enough to get new ones.
"
6273,"
Okay...first of all these are the best shoes i have ever purchased. One thing to remember is to order a half size up, i did and they fit perfectly.They are a little narrow however...so people with wider feet probibly wont think they are as comfort able...but for me they are fine.
"
6274,"
Perfect
"
6275,"
I have one foot bigger than the other so most times I don't buy shoes on line. I really like the look and they do feel pretty good/comfortable. My right foot (bigger foot) is a little snug but that's expected. I'm pretty sure from past experience it will stretch enough. Otherwise, so far, a very good sneaker for everyday use.
"
6276,"
Love pumas so I don’t have anything negative to say especially if we order through online and can’t try out the shoe but it does fit a lil tight around my foot since I have a wide foot . As I walk my foot adjust to the shoe
"
6277,"
This show is made narrow. I already knew this prior to ordering it and made accommodations so that it'd fit me well. I went up a size and find them to be a great fit. Perhaps, guys with smaller feet will be able to order exact sizes and still have a comfortable shoe in this one. For me, going up one was wise and made quite the positive difference. I love the look and feel of this shoe and I Highly recommend it to others.
"
6278,"
Its a perfect fit. I wear it to work. It looks very neat. However the leather quality just seems cheap.
"
6279,"
The look of these shoes is what made me purchase them. They LOOK great. The problem is that they are not comfortable. They are narrow and don’t have much support or padding in the soles of the shoes. I can’t wear them more than a couple hours without my feet hurting.
"
6280,"
Just got these and I really like the look and fit.  Classic Puma styling and very clean lines.  For me, fit is good because my feet are average-to-thin width and a medium arch.  For those that have a high arch, I would recommend that you either get inserts or look elsewhere, as there is no arch support.The reason why I'm giving only 2 stars is because the shoes appear to have ZERO GENUINE LEATHER content.  Pretty sure when I was a kid, friends had similar Pumas and those were 100% leather.  I realize that PU and ""synthetic leather"" is often better than it was 20-30 years ago, but doesn't make it okay to list them ""leather"" when they are not.Will still probably keep these, but I'm very concerned about long-term breathability and durability.  If they don't last long...or if they do, I may update the rating accordingly.  Regardless, there is a principle here.  These are NOT real leather.
"
6281,"
Classic sport shoes, comfort for me,not Leather,size not accurate so little bigger than it should be.
"
6282,"
My size 11’s fit perfectly. These sneaks are cool,  and I get compliments every time I wear them. They look great with a tee and a faded pair of 501s... it’s just like being transported back to 1985! I’m so glad I bought them. I highly suggest you grab yourself a pair and join me in bringing “old school” back into fashion!
"
6283,"
This Puma show made me fall in love with the Roma line up and has been the reason why I only go for gum sole shoes. Loved it when I was in high school because it went with every outfit I wore. Back then I wish I bought multiple pairs. I'm glad I was able to find them once again, as I struggled for the past 8 years to find them. If you are considering this shoe, go half a size to maybe one full size up. I wear a 9.5 men's, and when they arrived the fit too tight on the toe box area. A 10 may have fit better. It's a great shoe, just bear that in mind.
"
6284,"
Nice style just a little tight in the width. Hopefully the leather stretches to adjust to my foot
"
6285,
6286,"
If you have wide feet like me you'll have to loosen the laces to give yourself more comfort until you break them in a little. Otherwise it's good value and they look really nice!
"
6287,"
Love the look but my toes hurt. I probably should have sized up. I got my regular size and it's a little tight. I still wore them because they are really cute and look good for work.
"
6288,"
Great shoe, just a little narrow for my husband and he has thin feet. He kept them and broke them in a while and they’re ok now.
"
6289,"
Great looking shoe but A bit narrow at the toe
"
6290,"
I like these shoes for the look, comfort is okay. They are a stiff shoe so be warned to break them before you wear them for long periods of time. I did developed blisters on both my pinky toes. I still am having some discomfort with that after wearing the shoes for 4 days. I believe once they are broken in I will be pleased.
"
6291,"
To me these ran true to size my foot size is an 11.5 C. I ordered a 12 and these fit perfectly. Feel slightly snug in width, but that is the was I like my shoe to fit. I ordered these shoes as my workout shoes in the gym and so far they have done what they are supposed to do.
"
6292,"
The retro look is great! No complaints about that. However, I comfortably wear a size 11 in most major sneaker brands, but thanks to trusting in prior Amazon customer reviews, I ordered an 11 1/2 in the Puma Roma Classic. This worked out perfectly! They're a little snug due to the sleek, tennis-style design, but not uncomfortable if worn with a lighter-weight sock. If your size is available in a wide width, that should do the trick...otherwise, get a 1/2 size larger and it should be fine.
"
6293,"
I would buy again
"
6294,"
Buenas noches, quiero ver la posibilidad de cambiar la talla 11(M) por la talla 11(W). Cuando me probé los zapatos me aprietan mucho por los laterales y no he podido usarlos. Ciertamente, aunque mi talla es 11 no me di cuenta de la M entre paréntesis..Por favor indique si es posible efectuar el cambio y la forma de proceder. Gracias.Atentamente,Mimon Amran
"
6295,"
At work every day I walk about 3 miles, so I need decent black sneakers. These fit well and were durable and comfortable. I have worn these shoes almost every day for several months and they still look and feel good.
"
6296,"
They appear to be on the cheap side ...was not impressed with construction of this product....my last pair of puma's were excellent comfortable and durable ....purchase with caution ⚠️
"
6297,"
A bit narrow for my feet. Seems like they are an inch or so smaller than my old pair but got em a size bigger than normal. Would hate to skiff them or cause wrinkles in them from them bending while in use. Kinda tight on the sides so let's hope they don't hurt my feet. Now time to test em out. They don't look bad. 👍
"
6298,"
Le regale estos tenis a mi esposo. Y aunque cabe recalcar que su pies es demasiado ancho le quedaron muy bien
"
6299,"
I love Pumas, but not crazy about these. They look great, but they are just too narrow for my wide feet. I’m going to try to break them in, but I doubt it’ll make a difference. The length is fine, it’s just the width that bothers me. If you have wide feet like me, I’d think twice. If I manage to break them in and they fit better I’ll update.
"
6300,"
LOVE THE LOOK OF THIS SHOE BUT NOT GOOD IF YOU ARE EVEN CLOSE TO HAVING AN WIDE FOOTI WENT UP A SYZE AND STILL TO NARROW
"
6301,"
I am completely obsessed with Puma sneakers, I have 15 pair not counting my 12 pairs of Puma golf shoes. I wanted to get a pair for the gym so I didn't ruin the ones in my collection. These are SO cool. There is something about the big blue stripe and the wide flat laces that are just so classic. Lots of compliments on them at the gym. I put them through hell working out everyday and they just look and feel better and better each day. And this from a Puma fanatic!
"
6302,"
This was a very good Puma Roma shoe. I have a long leaner foot size so it fit me just fine. This shoe is good but if you have a wider foot go somewhere else. It will be too tight for you. This shoe is for the leaner foot size.
"
6303,"
The shoes fit me true to size I wear a size 12 and I ordered a 12 and it fits perfectly the color is ice white and looks better in person than on the website I wore them a short time out and they performed well so for me a great!a classic color with a pop of gold perfection enough said also it is a narrow shoe but the fit is fine I have a fatter foot but it is still comfortable for me this is a go and get it product!
"
6304,"
I have worn 10 1/2 size tennis shoes for 45 years.  I ordered 10 1/2 Pumas and they were way too small.  I reordered 11 1/2 and they are on the snug size but doable.  Size does not seem standard.  Other than that it's a great shoe, arrived on time and in good condition, good quality.
"
6305,"
I have no dislikes and 2ill buy again.
"
6306,"
It was not as describe had a small stain on the shoes laces not happy
"
6307,"
okay
"
6308,"
The shoes look cute but I don't recommend them is you're on your feet all day. More narrow then expected. I recommend a half size up. I'm a 7 they fit a little snug. Not meant as a walking shoe. I need more heel support. I would wear them again just not a long walking day
"
6309,"
The shoes themselves are very nice and I love the style.  However,  the figment for me is a big problem.  I am usually a 11-11.5 US Men's for the majority of my footwear (sneakers,  boots,  sandals).  These however,  at just an 11 were too big.  I have a wider foot than longer,  and these would fit someone well with my opposite foot type; long and skinny, not wide and somewhat shirt. I exchanged the 11s for 10.5 and they still are loose on me.
"
6310,"
I have several pairs of Romas. I started wearing this Puma model over Adidas for athletic competition years ago because it just fit better. This is just another good example of how this model can be presented as a style. If you're looking for a loose fit easygoing shoe this may not be for you. Think performance vs easy-driver.
"
6311,"
Estan igual que en la imagen pero a mi esposo no le quedo su talla vienen reducidos yo recomendaria pedir 1 talla más a la suya, asi que tuve que regresarlos y pedir la siguiente talla y esos le quedaron perfectos
"
6312,"
I first bought these Pumas because they're made with synthetics, not leather. The length (size 9) was just right for me, but they pinched on the outer side just behind the toes. I thought this would lessen after breaking them in, but the pinching remains to some degree. My feet get little red spots at the point of pinching. In spite of this, I purchased another pair recently, since the sneakers have worn so well -- much better than my previous brand.
"
6313,"
The toe box is too tight. This is the 1st time I have ever had this problem. I'm not sure if Puma is manufacturing their shoes different in 2021, but it's highly disappointing since I have been buying size 15 for over 4 years straight and this is the 1st time I have felt discomfort in them.
"
6314,"
These are the originals with the black toe and stripe. THANKS !!!!
"
6315,"
It's a good product, just need to break in the shoe
"
6316,"
Wow
"
6317,"
I ordered an 8 1/2 which is my normal shoe size, and they’re slightly snug. My toes fit just fine, but I feel as if there’s more tension on the sides of my feet. I have worn them since Christmas and they have somewhat loosened, but I would definitely get a half size or even a whole size bigger. I would not recommend these if you have wide feet.
"
6318,"
I ordered my usual size 10.5, and it feels quite tight and narrow.  At least a size 11 or 11.5 would probably fit properly.  Not sure though but it definitely fits more narrow than usual
"
6319,"
Me agrado mucho el producto
"
6320,"
Swagg to walk!
"
6321,"
Got these for my husband and he's so loving them.
"
6322,"
Like everybody says - too narrow.I normally wear 11.5 M. Ordered 12 in these.By ordering  12 instead of 11.5 - they work, but still a little bit tight in width.Here's something obvious I just figured out today.WHEN YOU GET THEM,LOOSEN THE LACES ALL THE WAY DOWN TO THE BASE OF THE TONGUE!That helped the narrowness problem a bunch.Didn't completely solve it - but helped.
"
6323,"
Para salir a pasear
"
6324,"
This shoe is more a B width, which is good as I have a narrow foot. Puma has always made a quality shoe and I expect after the break in period they should be great.
"
6325,"
I always get my tennis shoes at 11.5, usually never have to worry about it because I wear a 10.5 to 11.5 in most shoes depending the cut. These are the skinniest shoes I've ever tried
"
6326,"
I'm being generous with the star rating. I want to like these shoes, but Puma is disappointing me. They look nice, particularly in the photos, but their sizing is off for sure. I've been wearing 10s for a long time, and I have a wide variety of shoes and boots from all different brands. Pumas do not seem to match everyone else's sizing standards; they are way too tight. I tried multiple Puma 10s and they're all tight. I bought 11s this time and they are still not wide enough. If I decide to try 12s and they fit, that's great, but it would be nicer if Puma just got on board with everyone else. I don't know if they imagine a world where everyone has a narrow foot, or they just want to have narrow-footed customers, but neither one makes sense.
"
6327,"
They look great! Very comfortable and overall very satisfied with my purchase. Fits and isn't too large or small.
"
6328,"
Great shoes they fit exactly as they should if your foot is a nine and a half yeah I order nine and a half but I should wear a nine but that's no fault of the shoes that's my fault but besides that they fit perfect exactly as they should.
"
6329,"
If these are men shoes, they run very small.  I wear a 10.5 in women, that’s a 8.5 in men and I couldn’t get my feet in the shoe.
"
6330,"
The leather had a bad scuff on them from them being in the box like someone stepped on the box but overall the shoe fits my husband wears a size 6 in so I got him a 6 1/2 just get a size up if you got wide feet because all pumas are narrow anyways
"
6331,
6332,"
Wish I had known to buy up a full size and wide. No issue with vans, nike, or reebok shoes i have bought online
"
6333,"
These were perfect! It is difficult find shoes in the sizes my son needs (he wears a 14 at only 16 years old) and these fit perfectly! They looked amazing and he loves them!
"
6334,"
It fitted as expected. Great style. No arch and quite warm after a while. Other than that like them a lot.
"
6335,"
I like the fit and the look!
"
6336,"
I typically wear a 10 and my foot is narrower than average, maybe a C.  Length was fine but pretty narrow so these shoes barely fit me. They will stretch out with wear so will be fine, but be warned.  That said they are very nice looking shoes.  It's tough to find a sneaker that isn't clunky and over decorated so these look good.
"
6337,"
Me agrado el diseño y el precio
"
6338,"
The shoe is a little tight to me, but after Walking in them after a a week or so, they fit perfectly. Also don't be afraid of the white, they are easy to clean.
"
6339,"
Well first off they'll do but I've been buying puma for years and these are fake. Is that not illegal. I noticed the puma Roma in black with the tan on the sole has a black puma stripe while the real ones have a white stripe against black and gold pro t on the side and also a green tongue tag on the outside not black even on my black classics. It's not a real puma trust me. These feel so hard and plastic like dollar general shoes.
"
6340,"
Pretty happy with the shoes not bad for the price compared to the cost of most pumas
"
6341,"
I don’t have particularly wide feet. I never buy wide shoes. This is my first pair of puma shoes in years. They are very narrow and and uncomfortable out of the box. Not going to bother sending them back for what I paid for them. Maybe they will break in and loosen up after a few miles. Will update review after I wear them a bit.
"
6342,"
These shoes are super comfortable, though a little small, and look great on me. I ordered my usual size and I have to wear super thin socks to even get them on, but I don’t mind because when I run I like how snug they are to my feet which prevents friction and blisters. If I were getting these for all day wear and not just for my daily workouts I would have definitely exchanged them for the next size up.
"
6343,"
The shoe looks great! It feels a little small (I wear 10.5-11.5, ordered 11, and it felt slightly small)I'm worried that the front of the shoe is starting to wrinkle (when your foot bends near the toes) after only light usage.Biggest complaint: The shoes are not breathable, and I can't wear them for more than a few hours without wanting to take them off to let my feet breathe. take
"
6344,"
Me agrada el calzado, son informales y elegantes
"
6345,"
Great looking old school Puma but it runs a but narrow. Hoping it'll break itself in.
"
6346,"
Width is way small. Had to return
"
6347,"
Casual wear toe box and it made the feet appear smaller in size.
"
6348,"
In 2015 I bought these Roma in the black/white colorway and it fitted so tight in a size 11. 4 years later I decided to buy another pair, this time I go Black/Black colorway because they lasted so long they are very durable and comfortable for every day wear, this time I go 1/2 size up from 11 and it fits perfectly on my slim feet. These are the best shoe from the Puma's collection. They are 100% AUTHENTIC once they are ship and sold by Amazon.com Services.....
"
6349,"
I went a size up because other comments made reviews saying it's really narrow but I think you can do your regular size if your foot is not super wide bcz the more you go up a size the more ugly & lengthy the shoes gets!
"
6350,"




                    The media could not be loaded.
                



 This is a beautiful shoes .how ever it fit smaller than actual size. If you do like puma shoes get half size up.
"
6351,"
Best shoe added to my collection 4th pair in all of this brand fits well
"
6352,"
I love the look of these shows on my husband. They look nice with either jeans, shorts, or athletic wear. We like the shoes so much, that we’ve purchased them twice over the last 5 years. They look so nice! My husband said they’re really comfortable and fit true to size; however, the toe box area is tighter than other shoes. He has a narrow, flat foot.
"
6353,"
Shoe was great but I didn't add I need wide width but good item.
"
6354,"
The product is really nice and matched exactly to the picture on the website and the quality was very good. However my size in European standard is a 6 so just for safety i ordered a 6.5 but they were really tight and i cannot wear them , so i decided to give them to a friend of mine.
"
6355,"
product arrived on timeshoes looked stellar!Was anxious cuz shoe size is 15eee...but the new 'Puma 15 Size' is actually able to handle the hard workouts or golf rounds. Also handles cycling very well.Plus->These Kiks r epic🤙
"
6356,"
They are cute, comfortable he said... But kind of not as wide as we expected.
"
6357,"
Narrow and may be tight using a shoe horn may work.
"
6358,"
I love the look. Not for a wide foot though.
"
6359,"
Slightly tighter than expected but not too tight to send back.
"
6360,"
I bought the black ones, not for training or sports but for every day at the office. Good made, and looks nice. I feel comfortable and they suite the purpose I bought them for. My size is between 9 and 10, I took 10 and it is just perfect for me. In the begining I thought it will be too narrow - but after few hours they expand to the width of my feet. I think it is a good buying. Concerning quality - I'll wait and see how will they last over time and will report and modify the 5 stars grade accordingly.
"
6361,"
Little smaller than expected but looks good with white socks and helps get the ladies eyes on me
"
6362,
6363,"
It is very nice BUT your foot won't fit in there..I'm 10.5 and I ordered size 11..even that after I put them on..my feet hurt because these shoes were designed for skinny ppl..not for standard size ppl
"
6364,"
Love the style and quality of this shoe. However I’m a men’s 6 and these were too small, as well as very narrow. If you have wide feet this wouldn’t be comfortable. However, I ordered another pair a size and a half larger. I’m hoping they will fit better.
"
6365,"
I sent back two pair 8.5 they where too small my husband wears a 8,  ordered a size 10.5 they fit OK ,I didn't tell him he's wearing a size 10.5 .
"
6366,"
It was great I received the shoes with no issues
"
6367,"
Comfortable and sexy. Highly recommend
"
6368,"
Sole coming off on back after only a month of light wear
"
6369,"
Bought these to walk in at school since I'm on my feet a lot. After about 2 weeks started to have heal pain and then my knees started hurting. After 2 months I decided to shelve them and go with something else. Good looking shoe though. Sorry.
"
6370,"
Compared to the standard Puma Roma's, avoid the ""basic"" line at all costs. Man made leather is terrible and creases as soon as you try them on. They also squeak like crazy. As others have stated, this is an extremely narrow shoe and will fit very tightly unless you have narrow feet. I disagree with others that the shoe is a half or whole size too small, I ordered a half size up and had more room than I would like at the toe box, but I guess every foot is different. I got these on sale for $26, and for that price I guess they are going to be beaters, but the MSRP is $59 and they are absolutely not worth that. Overall, disappointed in the Roma Basics line.
"
6371,"
What I dislike is shoes did not come in puma box at all. I keep all my shoes in a box so that there set me the wrong way. Other than that shoes fit good nice and comfortable will buy again.
"
6372,"
Sneakers looks nice but that's where it ends. The sneaker is very narrow on the sides but also on the top of the laces. The bottom rubber also feels like I'm walking on a narrow board. Kinda feels like I'm on a balance beam. There is little to no padding in the sneaker. The sole of the sneaker is very thin. Side walls are also very thin. Put them on to test fit and walked around the house and the material already creased in less than 20 steps. There is barely any flex in the toes so feels like I'm walking on my tippy toes. If you want to try them get them a size larger than you normally wear.
"
6373,"
Buena calidad pero el diseño es incomodo .
"
6374,"
I absolutely love everything about this shoe, and i am a bit of a shoe freak. These are great to add to any collection and go with a lot more outfits then i expected.
"
6375,"
My main ""sneakers"" are Etnies skateboard shoes. I find they look great and most importably are incredibly comfortable and very easy to just slip on and off. I would reflexly just toss on my skate shoes to go out and do yard work or play soccer on the lawn. But they are $60+ shoes and I'd rather not mess them up.So I figured I'd buy a pair of true sneakers to use instead. Found these Pumas on sale for $30. Nice price, they don't look all that great, but just for work/play sneakers these should be great.And they would be great for this purpose at that price if they weren't the most UNCOMFORTABLE SNEAKERS I HAVE EVER WORN. No matter how carefully you put them on, the shoe tongue always manages to fold over onto itself and create an irritating and eventually painful lump between the top of your foot and the shoe. Not much more to say.. My feet start hurting in these after 10 minutes.Absolute garbage sneakers.
"
6376,"
They're stiff and narrow. Once they break in a little they're comfortable, but the break in period has been every time I wear them. They need to be worn daily.
"
6377,"
I purchased these puma's when Amazon made the price to hard to let go especially as I've had my eyes on these sexy shoes for over a month before I pulled the credit card finger. Love them!
"
6378,"
Looked nice
"
6379,"
Cool looking retro sneaker. Fairly comfortable after break in. Fit is true to size. Not made for a wide foot.
"
6380,"
My partner likes them so much but the shoes seem to be narrower than the other shoes he has.
"
6381,"
These are fantastic shoes for walking and with the specially designed tread will make a great shoe for this winter when the snow and ice begins covering the ground and making slipping a possibility.  They are so well designed and tailored to fit that I can't imagine being without them.  They are even nice enough to wear with a suit on Sundays.  I previously had Hush Puppies and was looking to get them again but they were almost $100 more expensive.  So glad I bought these because they appear (to me at least) to be better constructed.
"
6382,"
First let me tell you that I grew up playing competitive soccer. Puma and Adidas were the only brands I would ever wear. Puma however has always been my choice. The durability matching the comfort and style leaves no argument. Having said this, I'm obviously quite familiar with Puma. Now days I'm a bartender. I work on my feet. I ordered the Romas for work. Before then every day I got off work my feet hurt. As soon as I started wearing these shoes at work my foot aches stopped. They are light, comfortable and don't slip. I would definitely recommend these shoes to anyone that works on their feet. Bartenders and servers especially! Solid black,industry standard. They don't slip and they wipe off clean with a warm wash cloth.
"
6383,"
Muy bueno
"
6384,"
Classic, casual steppers.
"
6385,"
Not an all day shoe. Everything is fine but the sides are very tight and ache over time.
"
6386,"
It's a good looking shoe but the size and the width are smaller than one would expect. I buy a lot of Puma shoes. They normally run true to size. This particular style runs narrow and at least a half size short in the length. It is truly disappointing. Unfortunately I trusted them to be correct and disposed of the box and materials immediately. Now I cant return them. I would recommend you heck closely order a half size larger, and if you have more than a medium width forget them all together.
"
6387,"
The overall shoe was fine. I found that it was not true to size. I wear an 8.5 US but ordered a 9 since the shoe looked narrow. Wound up returning the shoe
"
6388,"
My son loves this shoe...says the fit is very comfortable.Im gonna check if they come in black and order them
"
6389,"
Love wearing puma so many years 👍🏽
"
6390,"
It fit perfectlyMy husband love it
"
6391,"
Meant for skinny long feet.
"
6392,"
I can't fit in the shoe.
"
6393,"
Size runs small and the shoes were too tight.
"
6394,"
I ordered my normal US size and they were to small so I returned and ordered one size up to discover they are just a VERY narrow sneaker. Neither pair ended up fitting unfortunately.
"
6395,"
I wanted to like these and got them for the classic look but they are not that comfortable. The leather is very thin and light combined with what I feel is a very thin and cheap sole with little to none arch support makes you feel you bought an knockoff shoe. Because of the thin soft leather and the extra narrow sole they tend to get wrinkles around the ball of your toes and curve of your arches. Definitely not a everyday shoe.
"
6396,"
I have worn puma's for years and they usually run small.  I saw these and had a hunch these were more true to size and they are.  I really like them!  For the price, I'm surprised how great these are.  Same puma quality and very comfortable.  GET THESE SHOES!  You'll love em.
"
6397,"
I bought these for my husband and he really likes them. He normally wears an 11 wide but the reviews said to try an half sized bigger since there weren’t size 11 1/2. This worked worked out amazing for him and he grabs these every time. He likes it that it makes his feet look slender. I
"
6398,"
I wore mine for about a week before it molded to my foot. Great looking 9ld school shoe.
"
6399,"
Quality of the shoes is good but the size is not up to the mark . They are very narrow
"
6400,"
Got the 11 1/2.glad I did shoe is for narrow feet.fit a little tight on the with.but had toe room.If you wear or need a wide shoe do not buy this shoe.
"
6401,"
I ordered a size 6 in men--i wear 8 in women and these were a little too tight in the how area. I could have gotten away with a 6 1/2 but other that I really like them, especially when you pair them with the right outfit!
"
6402,"
Love the shoes, very comfortable!
"
6403,"
Great shoe, but I bought this for my dad, who always wears size 9, but he couldn't fit in them. I got a size 10 and it was perfect, so, just be aware, you'll likely need a half to a full size bigger than usual.
"
6404,"
Great shoe but runs small.
"
6405,"
I love this shoe but its Very very narrow shoe. Shoe is very tight for my size.
"
6406,"
This is not a true fit, misleading.
"
6407,"
I like the shoes. They look great. I had to go a size up, because my size was to tight. They’ve been widening & getting lose each time I wear them. On a scale of 1-10. I’d give them an 8
"
6408,"
Use shoe for daily use
"
